id_two,Location,GPS 1,GPS 2
867,"BULGARIA, DOLNI BOGROV",42.7014624,23.4908111
1087,"FRANCE, AUBROMETZ",50.3037493,2.1760583
1153,"FRANCE, BELLEVILLE",48.8711841,2.3866818
1371,"FRANCE, CLICHY CEDEX",48.9040993,2.3041229
1534,"FRANCE, GAEL",48.1166824,-2.2346397
1576,"FRANCE, GRETZ ARMAINVILLIERS",48.7535864,2.7272277
1604,"FRANCE, HERLIN LE SEC",50.3544288,2.3317656
1767,"FRANCE, LES ANGLES",42.5796783,2.04895
1784,"FRANCE, LEVALLOIS PERRET",48.8946404,2.2874191
1836,"FRANCE, MACON",48.878552,2.2801174
1902,"FRANCE, MOISSY-CRAMAYEL",48.6246665,2.5957563
2017,"FRANCE, ORLY",48.7402273,2.402965
2410,"FRANCE, SERRIS",48.8453093,2.7873016
2438,"FRANCE, SUCY EN BRIE",48.7688096,2.537369
2583,"FRANCE, VITRY SUR SEINE",48.7892629,2.395103
3656,"GERMANY, PEINE - WOLTORF",52.304594,10.3125211
9812,"MAURITANIA, NOUAKCHOTT",18.0671706,-15.9535609
14077,"UNITED KINGDOM, BRISTOL",51.468489,-2.5907175
14137,"UNITED KINGDOM, KENT",51.1963962,0.7426441
